org_name,condition_or_gene,gene,citizen_page_url
LGS registry (Citizen Health),LGS,LGS,https://www.citizen.health/ai-advocate/lgs
LMNA registry (Citizen Health),LMNA,LMNA,https://www.citizen.health/ai-advocate/lmna
Lowe Syndrome (OCRL) registry (Citizen Health),Lowe Syndrome (OCRL),,https://www.citizen.health/ai-advocate/lsa
Luna Park syndrome registry (Citizen Health),Luna Park syndrome,,https://www.citizen.health/ai-advocate/rareolive
MDS registry (Citizen Health),MDS,MDS,https://www.citizen.health/ai-advocate/mds
MED13L registry (Citizen Health),MED13L,MED13L,https://www.citizen.health/ai-advocate/med13l-foundation
MEF2C registry (Citizen Health),MEF2C,MEF2C,https://www.citizen.health/ai-advocate/mef2c-family-foundation
Malan Syndrome registry (Citizen Health),Malan Syndrome,,https://www.citizen.health/ai-advocate/malan-syndrome-foundation
NALCN-related disorder registry (Citizen Health),NALCN-related disorder,NALCN,https://www.citizen.health/ai-advocate/nalcn
NKH registry (Citizen Health),NKH,NKH,https://www.citizen.health/ai-advocate/nkh-crusaders
Nemaline Myopathy registry (Citizen Health),Nemaline Myopathy,,https://www.citizen.health/ai-advocate/afbs
OCNDS registry (Citizen Health),OCNDS,OCNDS,https://www.citizen.health/ai-advocate/csnk2a1
PPP3CA registry (Citizen Health),PPP3CA,PPP3CA,https://www.citizen.health/ai-advocate/ppp3ca-hope-foundation
PURA Syndrome registry (Citizen Health),PURA Syndrome,PURA,https://www.citizen.health/ai-advocate/psf
Pitt Hopkins registry (Citizen Health),Pitt Hopkins,,https://www.citizen.health/ai-advocate/phrf
RNU4-2 registry (Citizen Health),RNU4-2,RNU4,https://www.citizen.health/ai-advocate/renu-syndrome
Rett registry (Citizen Health),Rett,,https://www.citizen.health/ai-advocate/rsrt
SCN2A registry (Citizen Health),SCN2A,SCN2A,https://www.citizen.health/ai-advocate/familiescn2a-foundation
SCN2A registry (Citizen Health),SCN2A,SCN2A,https://www.citizen.health/ai-advocate/scn2a
SCN8A registry (Citizen Health),SCN8A,SCN8A,https://www.citizen.health/ai-advocate/tcsf
SCN8A registry (Citizen Health),SCN8A,SCN8A,https://www.citizen.health/ai-advocate/scn8a
SDS registry (Citizen Health),SDS,SDS,https://www.citizen.health/ai-advocate/sds
SELENON-Related Myopathy registry (Citizen Health),SELENON-Related Myopathy,SELENON,https://www.citizen.health/ai-advocate/giving-strength
SLC13A5 registry (Citizen Health),SLC13A5,SLC13A5,https://www.citizen.health/ai-advocate/trf
SLC6A1 registry (Citizen Health),SLC6A1,SLC6A1,https://www.citizen.health/ai-advocate/slc6a1
SMC1A registry (Citizen Health),SMC1A,SMC1A,https://www.citizen.health/ai-advocate/smc1a
SPG50 registry (Citizen Health),SPG50,SPG50,https://www.citizen.health/ai-advocate/curespg50
SPTBN1 registry (Citizen Health),SPTBN1,SPTBN1,https://www.citizen.health/ai-advocate/sptbn1
STXBP1 registry (Citizen Health),STXBP1,STXBP1,https://www.citizen.health/ai-advocate/stxbp1-foundation
SYNGAP1 registry (Citizen Health),SYNGAP1,SYNGAP1,https://www.citizen.health/ai-advocate/syngap1
TBCD registry (Citizen Health),TBCD,TBCD,https://www.citizen.health/ai-advocate/landon-a-cure-foundation
TBCD registry (Citizen Health),TBCD,TBCD,https://www.citizen.health/ai-advocate/the-tbcd-foundation
TBCK registry (Citizen Health),TBCK,TBCK,https://www.citizen.health/ai-advocate/tbck
TBRS registry (Citizen Health),TBRS,TBRS,https://www.citizen.health/ai-advocate/tbrs
TRND registry (Citizen Health),TRND,TRND,https://www.citizen.health/ai-advocate/trnd-network
TTN (titin) registry (Citizen Health),TTN (titin),TTN,https://www.citizen.health/ai-advocate/team-titin
Telomere registry (Citizen Health),Telomere,,https://www.citizen.health/ai-advocate/team-telomere
WSS registry (Citizen Health),WSS,WSS,https://www.citizen.health/ai-advocate/wss-foundation
WWOX registry (Citizen Health),WWOX,WWOX,https://www.citizen.health/ai-advocate/wwox
YWHAG registry (Citizen Health),YWHAG,YWHAG,https://www.citizen.health/ai-advocate/ywhag-research-foundation
ZTTK Syndrome registry (Citizen Health),ZTTK Syndrome,ZTTK,https://www.citizen.health/ai-advocate/zttk-son-shine-foundation
equity registry (Citizen Health),equity,,https://www.citizen.health/ai-advocate/melanin-children-matter
v-ATPase registry (Citizen Health),v-ATPase,,https://www.citizen.health/ai-advocate/vatpasealliance
Cholangiocarcinoma (Bile Duct Cancer) registry (Citizen Health),Cholangiocarcinoma (Bile Duct Cancer),,https://www.citizen.health/partners/ccf
Gallbladder Cancer registry (Citizen Health),Gallbladder Cancer,,https://www.citizen.health/partners/gallbladder-cancer-foundation
Leukemia & Lymphoma registry (Citizen Health),Leukemia & Lymphoma,,https://www.citizen.health/partners/leukemia-lymphoma-society
